Causa - CID-BR-10;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro-Oeste;Total
001-031 ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS;35680;92273;231051;83068;44595;486667
001 DOENCAS INFECCIOSAS INTESTINAIS;397;1382;1435;518;273;4005
003 DIARREIA E GASTROENTERITE ORIG INFEC PRES;302;920;1025;342;178;2767
004 OUTRAS DOENCAS INFECCIOSAS INTESTINAIS;95;462;410;176;95;1238
005-006 TUBERCULOSE;492;1422;2285;628;293;5120
005 TUBERCULOSE RESPIRATORIA;454;1314;2088;556;259;4671
006 OUTRAS TUBERCULOSES;38;108;197;72;34;449
007-015 OUTRAS DOENCAS BACTERIANAS;1862;7568;14306;3188;1110;28034
008 LEPTOSPIROSE;18;72;84;47;4;225
009 HANSENIASE;24;58;27;11;22;142
010 TETANO;7;16;9;17;6;55
010.3 TETANO ACIDENTAL;7;16;9;17;6;55
011 DIFTERIA;;2;;;;2
012 COQUELUCHE;;1;;;;1
013 INFECCAO MENINGOCOCICA;8;13;41;6;1;69
014 SEPTICEMIA;1312;6088;12610;2801;891;23702
015 INFECCOES COM TRANSMISSAO PREDOM SEXUAL;45;71;133;44;22;315
016-023 DOENCAS VIRAIS;1634;3202;5619;2874;1095;14424
018 DENGUE;16;35;62;33;61;207
019 FEBRE AMARELA;3;;;3;2;8
020 OUT FEBRES P/ARBOVIRUS E FEBR HEMOR VIRAIS;25;93;103;18;53;292
021 SARAMPO;3;;;;;3
022 HEPATITE VIRAL;190;278;804;337;112;1721
023 DOEN P/VIRUS DA IMUNODEFIC HUMANA (HIV);1362;2655;4380;2372;815;11584
024-027 DOENCAS TRANSMITIDAS POR PROTOZOARIOS;188;1157;2046;205;994;4590
024 MALARIA;52;5;1;1;2;61
025 LEISHMANIOSE;41;128;42;5;20;236
026 DOENCA DE CHAGAS;70;987;1954;185;963;4159
027 TOXOPLASMOSE;23;26;29;7;7;92
028-030 HELMINTIASES;13;319;170;17;15;534
028 ESQUISTOSSOMOSE;1;277;134;;4;416
029 CISTICERCOSE;2;26;23;12;7;70
030 RESTANTE DE HELMINTIASES;10;16;13;5;4;48
031 RESTANTE ALGUMAS DOENC INFEC E PARASITARIAS;31094;77223;205190;75638;40815;429960
032-052 NEOPLASIAS;12156;52810;110148;44989;15702;235805
032 NEOPL MALIG DO LABIO, CAV ORAL E FARINGE;316;1912;3852;1387;596;8063
033 NEOPLASIA MALIGNA DO ESOFAGO;311;1889;3754;1935;541;8430
034 NEOPLASIA MALIGNA DO ESTOMAGO;1213;3364;6328;2529;826;14260
035 NEOPLASIA MALIGNA DO COLON,RETO E ANUS;740;3410;11362;4321;1429;21262
036 NEOPL MALIG DO FIGADO E VIAS BIL INTRAHEPAT;700;2617;4582;2036;663;10598
037 NEOPLASIA MALIGNA DO PANCREAS;437;2262;5981;2498;796;11974
038 NEOPLASIA MALIGNA DA LARINGE;212;1023;2175;828;324;4562
039 NEOPL MALIG DA TRAQUEIA,BRONQUIOS E PULMOES;1288;5629;13179;6873;1998;28967
040 NEOPLASIA MALIGNA DA PELE;67;299;778;583;105;1832
041 NEOPLASIA MALIGNA DA MAMA;808;4212;8967;3186;1188;18361
042 NEOPLASIA MALIGNA DO COLO DO UTERO;865;2117;2144;989;491;6606
043 NEOPL MALIG DE CORPO E PARTES N/ESP UTERO;185;908;2015;618;281;4007
044 NEOPLASIA MALIGNA DO OVARIO;185;931;1915;720;286;4037
045 NEOPLASIA MALIGNA DA PROSTATA;924;4462;6880;2867;1168;16301
046 NEOPLASIA MALIGNA DA BEXIGA;153;809;2603;1066;298;4929
047 NEOPL MALIG MENING,ENCEF E OUT PARTES SNC;530;2153;4321;1951;729;9684
048 LINFOMA NAO-HODGKIN;163;915;2040;902;294;4314
049 MIELOMA MULT E NEOPL MALIG DE PLASMOCITOS;141;703;1818;571;228;3461
050 LEUCEMIA;425;1549;3005;1300;537;6816
051 NEOPLASIAS IN SITU, BENIG, COMPORT INCERT;312;1322;2447;645;315;5041
052 RESTANTE DE NEOPLASIAS MALIGNAS;2181;10324;20002;7184;2609;42300
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT;561;2013;3419;842;461;7296
053 ANEMIAS;386;1368;2263;487;280;4784
054 REST D SANGUE, ORG HEMAT E ALG TRANST IMUNIT;175;645;1156;355;181;2512
055-057 D ENDOCRINAS, NUTRICIONAIS E METABOLICAS;6512;29072;39968;15465;5801;96818
055 DIABETES MELLITUS;5273;23874;31753;12928;4430;78258
056 DESNUTRICAO;529;1716;1651;469;352;4717
057 REST DOENCAS ENDOCR, NUTRICION E METABOLICAS;710;3482;6564;2068;1019;13843
058-059 TRANSTORNOS MENTAIS E COMPORTAMENTAIS;662;5431;8183;2823;1310;18409
058 TRANST MENT E COMPORT USO SUBST PSICOATIVAS;434;4096;4671;2087;945;12233
058.1 TRANS MENT E COMPORT DEVID USO ALCOOL;309;2947;3364;1504;706;8830
059 REST TRANSTORNOS MENTAIS E COMPORTAMENTAIS;228;1335;3512;736;365;6176
060-063 DOENCAS DO SISTEMA NERVOSO;1937;10642;23310;10547;3091;49527
060 MENINGITE;40;114;274;107;39;574
061 DOENCA DE ALZHEIMER;713;5219;12892;5212;1506;25542
062 EPILEPSIA;230;1118;1784;697;339;4168
063 RESTANTE DAS DOENCAS DO SISTEMA NERVOSO;954;4191;8360;4531;1207;19243
064 DOENCAS DOS OLHOS E ANEXOS;3;7;11;2;1;24
065 DOENCAS DO OUVIDO E DA APOFISE MASTOIDE;15;46;73;17;5;156
066-072 DOENCAS DO APARELHO CIRCULATORIO;21279;99733;177183;58508;25804;382507
066 FEBRE REUMAT AGUDA E DOEN REUM CRON CORACAO;136;645;942;372;205;2300
067 DOENCAS HIPERTENSIVAS;3542;20319;30432;10091;4145;68529
068 DOENCAS ISQUEMICAS DO CORACAO;6668;30161;53386;16936;8538;115689
068.1 INFARTO AGUDO DO MIOCARDIO;6071;25644;44373;12684;7040;95812
069 OUTRAS DOENCAS CARDIACAS;3477;16157;39163;11296;4934;75027
070 DOENCAS CEREBROVASCULARES;6832;28525;44283;16767;6647;103054
071 ATEROSCLEROSE;17;249;396;90;47;799
072 REST DOENCAS DO APARELHO CIRCULATORIO;607;3677;8581;2956;1288;17109
073-077 DOENCAS DO APARELHO RESPIRATORIO;9085;34453;69906;20089;8935;142468
073 INFLUENZA (GRIPE);149;392;713;113;46;1413
074 PNEUMONIA;4831;15368;34646;7884;4045;66774
075 OUT INFEC AGUDAS DAS VIAS AEREAS INFERIORES;65;578;422;131;50;1246
075.1 BRONQUIOLITE;23;65;169;39;23;319
076 DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES;2076;7690;17195;8787;3364;39112
076.1 ASMA;115;717;1031;477;148;2488
077 RESTANTE  DOENCAS DO APARELHO RESPIRATORIO;1964;10425;16930;3174;1430;33923
