Causa - CID-BR-10;Óbitos p/Residênc
001-031 ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS;33100
001 DOENCAS INFECCIOSAS INTESTINAIS;3212
003 DIARREIA E GASTROENTERITE ORIG INFEC PRES;2274
004 OUTRAS DOENCAS INFECCIOSAS INTESTINAIS;938
004.1 FEBRES TIFOIDE E PARATIFOIDE;1
005-006 TUBERCULOSE;1484
005 TUBERCULOSE RESPIRATORIA;1311
006 OUTRAS TUBERCULOSES;173
007-015 OUTRAS DOENCAS BACTERIANAS;15432
008 LEPTOSPIROSE;56
009 HANSENIASE;35
010 TETANO;11
010.3 TETANO ACIDENTAL;11
011 DIFTERIA;1
013 INFECCAO MENINGOCOCICA;69
014 SEPTICEMIA;13373
015 INFECCOES COM TRANSMISSAO PREDOM SEXUAL;134
016-023 DOENCAS VIRAIS;5064
018 DENGUE;413
020 OUT FEBRES P/ARBOVIRUS E FEBR HEMOR VIRAIS;341
022 HEPATITE VIRAL;562
023 DOEN P/VIRUS DA IMUNODEFIC HUMANA (HIV);3398
024-027 DOENCAS TRANSMITIDAS POR PROTOZOARIOS;1975
024 MALARIA;24
025 LEISHMANIOSE;61
026 DOENCA DE CHAGAS;1837
027 TOXOPLASMOSE;25
028-030 HELMINTIASES;276
028 ESQUISTOSSOMOSE;216
029 CISTICERCOSE;31
030 RESTANTE DE HELMINTIASES;29
031 RESTANTE ALGUMAS DOENC INFEC E PARASITARIAS;5657
032-052 NEOPLASIAS;123977
032 NEOPL MALIG DO LABIO, CAV ORAL E FARINGE;1978
033 NEOPLASIA MALIGNA DO ESOFAGO;1766
034 NEOPLASIA MALIGNA DO ESTOMAGO;5513
035 NEOPLASIA MALIGNA DO COLON,RETO E ANUS;12335
036 NEOPL MALIG DO FIGADO E VIAS BIL INTRAHEPAT;4718
037 NEOPLASIA MALIGNA DO PANCREAS;6918
038 NEOPLASIA MALIGNA DA LARINGE;623
039 NEOPL MALIG DA TRAQUEIA,BRONQUIOS E PULMOES;14479
040 NEOPLASIA MALIGNA DA PELE;871
041 NEOPLASIA MALIGNA DA MAMA;20165
042 NEOPLASIA MALIGNA DO COLO DO UTERO;7209
043 NEOPL MALIG DE CORPO E PARTES N/ESP UTERO;4334
044 NEOPLASIA MALIGNA DO OVARIO;4444
046 NEOPLASIA MALIGNA DA BEXIGA;1829
047 NEOPL MALIG MENING,ENCEF E OUT PARTES SNC;4829
048 LINFOMA NAO-HODGKIN;2091
049 MIELOMA MULT E NEOPL MALIG DE PLASMOCITOS;1904
050 LEUCEMIA;3416
051 NEOPLASIAS IN SITU, BENIG, COMPORT INCERT;2654
052 RESTANTE DE NEOPLASIAS MALIGNAS;21901
053-054 D SANGUE E ORG HEMAT E ALGUNS TRANS IMUNIT;3840
053 ANEMIAS;2460
