Causa - CID-BR-10;1 Região Norte;2 Região Nordeste;3 Região Sudeste;4 Região Sul;5 Região Centro-Oeste;Total
001-031 ALGUMAS DOENCAS INFECCIOSAS E PARASITARIAS;5450;18766;34297;9918;5011;73442
001 DOENCAS INFECCIOSAS INTESTINAIS;525;1832;2148;776;390;5671
003 DIARREIA E GASTROENTERITE ORIG INFEC PRES;406;1236;1525;507;286;3960
004 OUTRAS DOENCAS INFECCIOSAS INTESTINAIS;119;596;623;269;104;1711
004.1 FEBRES TIFOIDE E PARATIFOIDE;;1;;;;1
005-006 TUBERCULOSE;649;1780;2581;687;328;6025
005 TUBERCULOSE RESPIRATORIA;602;1632;2342;606;301;5483
006 OUTRAS TUBERCULOSES;47;148;239;81;27;542
007-015 OUTRAS DOENCAS BACTERIANAS;1879;8627;15740;3257;1104;30607
008 LEPTOSPIROSE;31;88;126;70;6;321
009 HANSENIASE;17;50;24;4;15;110
010 TETANO;7;22;18;18;1;66
010.3 TETANO ACIDENTAL;7;22;18;18;1;66
011 DIFTERIA;;1;1;;;2
013 INFECCAO MENINGOCOCICA;10;34;84;14;9;151
014 SEPTICEMIA;1399;7133;13878;2878;864;26152
015 INFECCOES COM TRANSMISSAO PREDOM SEXUAL;42;95;130;40;39;346
016-023 DOENCAS VIRAIS;1569;3146;5810;2623;1160;14308
018 DENGUE;20;49;453;204;113;839
019 FEBRE AMARELA;1;;2;;;3
020 OUT FEBRES P/ARBOVIRUS E FEBR HEMOR VIRAIS;30;117;376;72;113;708
021 SARAMPO;;1;;;;1
022 HEPATITE VIRAL;189;258;689;306;104;1546
023 DOEN P/VIRUS DA IMUNODEFIC HUMANA (HIV);1284;2578;3933;1921;774;10490
024-027 DOENCAS TRANSMITIDAS POR PROTOZOARIOS;147;1098;1874;180;879;4178
024 MALARIA;47;5;5;;6;63
025 LEISHMANIOSE;25;95;49;3;30;202
026 DOENCA DE CHAGAS;62;968;1761;160;834;3785
027 TOXOPLASMOSE;10;14;21;8;3;56
028-030 HELMINTIASES;18;301;172;18;11;520
028 ESQUISTOSSOMOSE;2;254;131;1;3;391
029 CISTICERCOSE;2;22;23;12;4;63
030 RESTANTE DE HELMINTIASES;14;25;18;5;4;66
031 RESTANTE ALGUMAS DOENC INFEC E PARASITARIAS;663;1982;5972;2377;1139;12133
032-052 NEOPLASIAS;13858;57741;118267;47895;17275;255036
032 NEOPL MALIG DO LABIO, CAV ORAL E FARINGE;407;2099;4177;1397;659;8739
033 NEOPLASIA MALIGNA DO ESOFAGO;293;1966;3810;1857;563;8489
034 NEOPLASIA MALIGNA DO ESTOMAGO;1319;3743;6354;2516;892;14824
035 NEOPLASIA MALIGNA DO COLON,RETO E ANUS;972;4032;13084;4959;1726;24773
036 NEOPL MALIG DO FIGADO E VIAS BIL INTRAHEPAT;789;2781;4966;1989;674;11199
037 NEOPLASIA MALIGNA DO PANCREAS;523;2615;6687;2814;868;13507
038 NEOPLASIA MALIGNA DA LARINGE;232;1143;2102;874;338;4689
039 NEOPL MALIG DA TRAQUEIA,BRONQUIOS E PULMOES;1582;6400;13774;7272;2211;31239
040 NEOPLASIA MALIGNA DA PELE;66;323;890;655;113;2047
041 NEOPLASIA MALIGNA DA MAMA;945;4584;9816;3634;1420;20399
042 NEOPLASIA MALIGNA DO COLO DO UTERO;944;2218;2380;1079;588;7209
043 NEOPL MALIG DE CORPO E PARTES N/ESP UTERO;203;973;2221;663;274;4334
044 NEOPLASIA MALIGNA DO OVARIO;214;1115;2058;740;317;4444
045 NEOPLASIA MALIGNA DA PROSTATA;1022;4705;7269;2984;1277;17257
046 NEOPLASIA MALIGNA DA BEXIGA;203;907;2736;1061;345;5252
047 NEOPL MALIG MENING,ENCEF E OUT PARTES SNC;546;2334;4602;1961;764;10207
048 LINFOMA NAO-HODGKIN;192;908;2212;1021;285;4618
049 MIELOMA MULT E NEOPL MALIG DE PLASMOCITOS;153;952;1949;706;286;4046
